M1030,Network Segmentation,Configure access controls and firewalls to limit access to critical systems and domain controllers. Most cloud environments support separate virtual private cloud (VPC) instances that enable further segmentation of cloud systems.
M1028,Operating System Configuration,"Protect domain controllers by ensuring proper security configuration for critical servers to limit access by potentially unnecessary protocols and services, such as SMB file sharing."
M1026,Privileged Account Management,Do not allow domain administrator accounts to be used for day-to-day operations that may expose them to potential adversaries on unprivileged systems.
M1018,User Account Management,Ensure that low-privileged user accounts do not have permissions to modify accounts or account-related policies.
M1056,Pre-compromise,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls.
G1004,LAPSUS$,LAPSUS$  has removed a targeted organization's global admin accounts to lock the organization out of all access. [3]
S0372,LockerGoga,LockerGoga  has been observed changing account passwords and logging off current users. [1] [2]
S0576,MegaCortex,MegaCortex  has changed user account passwords and logged users off the system. [4]
S0688,Meteor,Meteor  has the ability to change the password of local users on compromised hosts and can log off users. [5]
G1016,FIN13,FIN13  has enumerated all users and their roles from a victim's main treasury system. [1]
S0445,ShimRatReporter,ShimRatReporter  listed all non-privileged and privileged accounts available on the machine. [2]
C0024,SolarWinds Compromise,"During the  SolarWinds Compromise ,  APT29  obtained a list of users and their roles from an Exchange server using  Get-ManagementRoleAssignment . [3]"
S1065,Woody RAT,Woody RAT  can identify administrator accounts on an infected machine. [4]
S0658,XCSSET,"XCSSET  attempts to discover accounts from various locations such as a user's Evernote, AppleID, Telegram, Skype, and WeChat data. [5]"
M1028,Operating System Configuration,Prevent administrator accounts from being enumerated when an application is elevating through UAC since it can lead to the disclosure of account names. The Registry key is located  HKLM\ SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\CredUI\EnumerateAdministrators . It can be disabled through GPO: Computer Configuration > [Policies] > Administrative Templates > Windows Components > Credential User Interface: E numerate administrator accounts on elevation.  [6]
S0622,AppleSeed,AppleSeed  can gain system level privilege by passing  SeDebugPrivilege  to the  AdjustTokenPrivilege  API. [2]
S1068,BlackCat,BlackCat  has the ability modify access tokens. [3] [4]
G0108,Blue Mockingbird,Blue Mockingbird  has used JuicyPotato to abuse the  SeImpersonate  token privilege to escalate from web application pool accounts to NT Authority\SYSTEM. [5]
C0017,C0017,"During  C0017 ,  APT41  used a ConfuserEx obfuscated BADPOTATO exploit to abuse named-pipe impersonation for local  NT AUTHORITY\SYSTEM  privilege escalation. [6]"
S0625,Cuba,Cuba  has used  SeDebugPrivilege  and  AdjustTokenPrivileges  to elevate privileges. [7]
S0038,Duqu,"Duqu  examines running system processes for tokens that have specific system privileges. If it finds one, it will copy the token and store it for later use. Eventually it will start new processes with the stored token attached. It can also steal tokens to acquire administrative privileges. [8]"
S0363,Empire,Empire  can use  PowerSploit 's  Invoke-TokenManipulation  to manipulate access tokens. [9]
G0037,FIN6,FIN6  has used has used Metasploit’s named-pipe impersonation technique to escalate privileges. [10]
S0666,Gelsemium,Gelsemium  can use token manipulation to bypass UAC on Windows7 systems. [11]
S0697,HermeticWiper,"HermeticWiper  can use  AdjustTokenPrivileges  to grant itself privileges for debugging with  SeDebugPrivilege , creating backups with  SeBackupPrivilege , loading drivers with  SeLoadDriverPrivilege , and shutting down a local system with  SeShutdownPrivilege . [12] [13]"
S0203,Hydraq,Hydraq  creates a backdoor through which remote attackers can adjust token privileges. [14]
S0607,KillDisk,"KillDisk  has attempted to get the access token of a process by calling  OpenProcessToken . If  KillDisk  gets the access token, then it attempt to modify the token privileges with  AdjustTokenPrivileges . [15]"
S1060,Mafalda,Mafalda  can use  AdjustTokenPrivileges()  to elevate privileges. [16]
S0576,MegaCortex,MegaCortex  can enable  SeDebugPrivilege  and adjust token privileges. [17]
S0378,PoshC2,PoshC2  can use Invoke-TokenManipulation for manipulating tokens. [18]
S0194,PowerSploit,PowerSploit 's  Invoke-TokenManipulation  Exfiltration module can be used to manipulate tokens. [19] [20]
S0446,Ryuk,Ryuk  has attempted to adjust its token privileges to have the  SeDebugPrivilege . [21]
S0633,Sliver,Sliver  has the ability to manipulate user tokens on targeted Windows systems. [22] [23]
S0058,SslMM,SslMM  contains a feature to manipulate process privileges and tokens. [24]
S0562,SUNSPOT,SUNSPOT  modified its security token to grants itself debugging privileges by adding  SeDebugPrivilege . [25]
M1026,Privileged Account Management,Limit permissions so that users and user groups cannot create tokens. This setting should be defined for the local system account only. GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Create a token object.  [26]  Also define who can create a process level token to only the local and network service through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings > Local Policies > User Rights Assignment: Replace a process level token. [27] Administrators should log in as a standard user but run their tools with administrator privileges using the built-in access token manipulation command  runas . [28]
M1018,User Account Management,An adversary must already have administrator level access on the local system to make full use of this technique; be sure to restrict users and accounts to the least privileges they require.
M1056,Pre-compromise,This technique cannot be easily mitigated with preventive controls since it is based on behaviors performed outside of the scope of enterprise defenses and controls. Efforts should focus on minimizing the amount and sensitivity of data available to external parties.
C0025,2016 Ukraine Electric Power Attack,"During the  2016 Ukraine Electric Power Attack ,  Sandworm Team  used a script to attempt RPC authentication against a number of hosts. [1]"
G0007,APT28,APT28  can perform brute force attacks to obtain credentials. [2] [3] [4]
G0082,APT38,APT38  has used brute force techniques to attempt account access when passwords are unknown or when password hashes are unavailable. [5]
G0087,APT39,APT39  has used Ncrack to reveal credentials. [6]
S0572,Caterpillar WebShell,Caterpillar WebShell  has a module to perform brute force attacks on a system. [7]
S0220,Chaos,Chaos  conducts brute force attacks against SSH services to gain initial access. [8]
S0488,CrackMapExec,CrackMapExec  can brute force supplied user credentials across a network range. [9]
G0105,DarkVishnya,DarkVishnya  used brute-force attack to obtain login data. [10]
G0035,Dragonfly,Dragonfly  has attempted to brute force credentials to gain access. [11]
G0053,FIN5,FIN5  has has used the tool GET2 Penetrator to look for remote login and hard-coded credentials. [12] [13]
G0117,Fox Kitten,Fox Kitten  has brute forced RDP credentials. [14]
G1001,HEXANE,HEXANE  has used brute force attacks to compromise valid credentials. [15]
S0599,Kinsing,Kinsing  has attempted to brute force hosts over SSH. [16]
G0049,OilRig,OilRig  has used brute force techniques to obtain credentials. [17]
C0022,Operation Dream Job,"During  Operation Dream Job ,  Lazarus Group  performed brute force attacks against administrator accounts. [18]"
S0378,PoshC2,PoshC2  has modules for brute forcing local administrator and AD user accounts. [19]
S0583,Pysa,"Pysa  has used brute force attempts against a central management console, as well as some Active Directory accounts. [20]"
S0650,QakBot,QakBot  can conduct brute force attacks to capture credentials. [21] [22] [23]
G0010,Turla,Turla  may attempt to connect to systems within a victim's network using  net use  commands and a predefined list or collection of passwords. [24]
M1036,Account Use Policies,"Set account lockout policies after a certain number of failed login attempts to prevent passwords from being guessed. Too strict a policy may create a denial of service condition and render environments un-usable, with all accounts used in the brute force being locked-out. Use conditional access policies to block logins from non-compliant devices or from outside defined organization IP ranges. [25]"
M1032,Multi-factor Authentication,"Use multi-factor authentication. Where possible, also enable multi-factor authentication on externally facing services."
M1027,Password Policies,Refer to NIST guidelines when creating password policies. [26]
M1018,User Account Management,"Proactively reset accounts that are known to be part of breached credentials either immediately, or after detecting bruteforce attempts."
G0001,Axiom,Axiom  has used spear phishing to initially compromise victims. [8] [9]
G0115,GOLD SOUTHFIELD,GOLD SOUTHFIELD  has conducted malicious spam (malspam) campaigns to gain access to victim's machines. [10]
S0009,Hikit,Hikit  has been spread through spear phishing. [9]
S1073,Royal,"Royal  has been spread through the use of phishing campaigns including ""call back phishing"" where victims are lured into calling a number provided through email. [11] [12] [13]"
M1049,Antivirus/Antimalware,Anti-virus can automatically quarantine suspicious files.
M1031,Network Intrusion Prevention,Network intrusion prevention systems and systems designed to scan and remove malicious email attachments or links can be used to block activity.
M1021,Restrict Web-Based Content,"Determine if certain websites or attachment types (ex: .scr, .exe, .pif, .cpl, etc.) that can be used for phishing are necessary for business operations and consider blocking access if activity cannot be monitored well or if it poses a significant risk."
M1054,Software Configuration,Use anti-spoofing and email authentication mechanisms to filter messages based on validity checks of the sender domain (using SPF) and integrity of messages (using DKIM). Enabling these mechanisms within an organization (through policies such as DMARC) may enable recipients (intra-org and cross domain) to perform similar message filtering and validation. [14] [15]
M1017,User Training,Users can be trained to identify social engineering techniques and phishing emails.
S0622,AppleSeed,AppleSeed  has exfiltrated files using web services. [1]
G0007,APT28,APT28  can exfiltrate data over Google Drive. [2]
C0017,C0017,"During  C0017 ,  APT41  used Cloudflare services for data exfiltration. [3]"
S0547,DropBook,DropBook  has used legitimate web services to exfiltrate data. [4]
G0059,Magic Hound,Magic Hound  has used the Telegram API  sendMessage  to relay data on compromised devices. [5]
S0508,ngrok,ngrok  has been used by threat actors to configure servers for data exfiltration. [6]
M1057,Data Loss Prevention,Data loss prevention can be detect and block sensitive data being uploaded to web services via web browsers.
M1021,Restrict Web-Based Content,Web proxies can be used to enforce an external network communication policy that prevents use of unauthorized external services.
G0050,APT32,"APT32  has used Dropbox, Amazon S3, and Google Drive to host malicious downloads. [1]"
S1081,BADHATCH,"BADHATCH  can be utilized to abuse  sslip.io , a free IP to domain mapping service, as part of actor-controlled C2 channels. [2]"
S0534,Bazar,Bazar  downloads have been hosted on Google Docs. [3] [4]
S0635,BoomBox,BoomBox  can download files from Dropbox using a hardcoded access token. [5]
S1063,Brute Ratel C4,"Brute Ratel C4  can use legitimate websites for external C2 channels including Slack, Discord, and MS Teams. [6]"
S1039,Bumblebee,Bumblebee  has been downloaded to victim's machines from OneDrive. [7]
C0017,C0017,"During  C0017 ,  APT41  used the Cloudflare services for C2 communications. [8]"
C0027,C0027,"During  C0027 ,  Scattered Spider  downloaded tools from sites including file.io, GitHub, and paste.ee. [9]"
S0335,Carbon,Carbon  can use Pastebin to receive C2 commands. [10]
S0674,CharmPower,CharmPower  can download additional modules from actor-controlled Amazon S3 buckets. [11]
S1066,DarkTortilla,DarkTortilla  can retrieve its primary payload from public sites such as Pastebin and Textbin. [12]
S0600,Doki,Doki  has used the dogechain.info API to generate a C2 address. [13]
S0547,DropBook,"DropBook  can communicate with its operators by exploiting the Simplenote, DropBox, and the social media platform, Facebook, where it can create fake accounts to control the backdoor and receive instructions. [14] [15]"
G1003,Ember Bear,Ember Bear  has used Discord's content delivery network (CDN) to deliver malware and malicious scripts to a compromised host. [16]
G1011,EXOTIC LILY,"EXOTIC LILY  has used file-sharing services including WeTransfer, TransferNow, and OneDrive to deliver payloads. [17]"
G0037,FIN6,FIN6  has used Pastebin and Google Storage to host content for their operations. [18]
G0061,FIN8,"FIN8  has used  sslip.io , a free IP to domain mapping service that also makes SSL certificate generation easier for traffic encryption, as part of their command and control. [19]"
G0117,Fox Kitten,Fox Kitten  has used Amazon Web Services to host C2. [20]
G0047,Gamaredon Group,Gamaredon Group  has used GitHub repositories for downloaders which will be obtained by the group's .NET executable on the compromised system. [21]
S0561,GuLoader,GuLoader  has the ability to download malware from Google Drive. [22]
S0601,Hildegard,Hildegard  has downloaded scripts from GitHub. [23]
G0100,Inception,Inception  has incorporated at least five different cloud service providers into their C2 infrastructure including CloudMe. [24] [25]
G0140,LazyScripter,LazyScripter  has used GitHub to host its payloads to operate spam campaigns. [26]
G0129,Mustang Panda,Mustang Panda  has used DropBox URLs to deliver variants of  PlugX . [27]
S0198,NETWIRE,NETWIRE  has used web services including Paste.ee to host payloads. [28]
S0508,ngrok,ngrok  has been used by threat actors to proxy C2 connections to ngrok service subdomains. [29]
C0005,Operation Spalax,"During  Operation Spalax , the threat actors used OneDrive and MediaFire to host payloads. [30]"
G0106,Rocke,"Rocke  has used Pastebin, Gitee, and GitLab for Command and Control. [31] [32]"
S0546,SharpStage,SharpStage  has used a legitimate web service for evading detection. [14]
S0589,Sibot,Sibot  has used a legitimate compromised website to download DLLs to the victim's machine. [33]
S0649,SMOKEDHAM,SMOKEDHAM  has used Google Drive and Dropbox to host files downloaded by victims via malicious links. [34]
S1086,Snip3,Snip3  can download additional payloads from web services including Pastebin and top4top. [35]
G0139,TeamTNT,TeamTNT  has leveraged iplogger.org to send collected data back to C2. [36] [37]
G0010,Turla,"Turla  has used legitimate web services including Pastebin, Dropbox, and GitHub for C2 communications. [10] [38]"
S0689,WhisperGate,WhisperGate  can download additional payloads hosted on a Discord channel. [39] [40] [41] [42] [43]
M1031,Network Intrusion Prevention,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate activity at the network level.
M1021,Restrict Web-Based Content,Web proxies can be used to enforce external network communication policy that prevents use of unauthorized external services.
C0028,2015 Ukraine Electric Power Attack,"During the  2015 Ukraine Electric Power Attack ,  Sandworm Team  used valid accounts on the corporate network to escalate privileges, move laterally, and establish persistence within the corporate network.  [4]"
G0026,APT18,APT18  actors leverage legitimate credentials to log into external remote services. [5]
G0007,APT28,"APT28  has used legitimate credentials to gain initial access, maintain access, and exfiltrate data from a victim network. The group has specifically used credentials stolen through a spearphishing email to login to the DCCC network. The group has also leveraged default manufacturer's passwords to gain initial access to corporate networks via IoT devices such as a VOIP phone, printer, and video decoder. [6] [7] [8] [9]"
G0016,APT29,APT29  has used a compromised account to access an organization's VPN infrastructure. [10]
G0064,APT33,APT33  has used valid accounts for initial access and privilege escalation. [11] [12]
G0087,APT39,APT39  has used stolen credentials to compromise Outlook Web Access (OWA). [13]
G0096,APT41,APT41  used compromised credentials to log on to other systems. [14] [15]
G0001,Axiom,Axiom  has used previously compromised administrative accounts to escalate privileges. [16]
G0008,Carbanak,Carbanak  actors used legitimate credentials of banking employees to perform operations that sent them millions of dollars. [17]
G0114,Chimera,Chimera  has used a valid account to maintain persistence via scheduled task. [18]
G0035,Dragonfly,Dragonfly  has compromised user credentials and used valid accounts for operations. [19] [20] [21]
S0567,Dtrack,Dtrack  used hard-coded credentials to gain access to a network share. [22]
S0038,Duqu,Adversaries can instruct  Duqu  to spread laterally by copying itself to shares it has enumerated and for which it has obtained legitimate credentials (via keylogging or other means). The remote host is then infected by using the compromised credentials to schedule a task on remote machines that executes the malware. [23]
G0051,FIN10,FIN10  has used stolen credentials to connect remotely to victim networks using VPNs protected with only a single factor. [24]
G0085,FIN4,FIN4  has used legitimate credentials to hijack email communications. [25] [26]
G0053,FIN5,"FIN5  has used legitimate VPN, RDP, Citrix, or VNC credentials to maintain access to a victim environment. [27] [28] [29]"
G0037,FIN6,"To move laterally on a victim network,  FIN6  has used credentials stolen from various systems on which it gathered usernames and password hashes. [30] [31] [32]"
G0046,FIN7,FIN7  has harvested valid administrative credentials for lateral movement. [33]
G0061,FIN8,FIN8  has used valid accounts for persistence and lateral movement. [34]
G0117,Fox Kitten,Fox Kitten  has used valid credentials with various services during lateral movement. [35]
G0093,GALLIUM,GALLIUM  leveraged valid accounts to maintain access to a victim network. [36]
S0604,Industroyer,Industroyer  can use supplied user credentials to execute processes and stop services. [37]
G0004,Ke3chang,"Ke3chang  has used credential dumpers or stealers to obtain legitimate credentials, which they used to gain access to victim accounts. [38]"
S0599,Kinsing,Kinsing  has used valid SSH credentials to access remote hosts. [39]
G1004,LAPSUS$,"LAPSUS$  has used compromised credentials and/or session tokens to gain access into a victim's VPN, VDI, RDP, and IAMs. [40] [41]"
G0032,Lazarus Group,Lazarus Group  has used administrator credentials to gain access to restricted network segments. [42]
G0065,Leviathan,Leviathan  has obtained valid accounts to gain initial access. [43] [44]
S0362,Linux Rabbit,Linux Rabbit  acquires valid SSH accounts through brute force.  [45]
G0045,menuPass,menuPass  has used valid accounts including shared between Managed Service Providers and clients to move between the two environments. [46] [47] [48] [49]
C0002,Night Dragon,"During  Night Dragon , threat actors used compromised VPN accounts to gain access to victim systems. [50]"
G0049,OilRig,OilRig  has used compromised credentials to access other systems on a victim network. [51] [52] [15]
C0014,Operation Wocao,"During  Operation Wocao , threat actors used valid VPN credentials to gain initial access. [53]"
G0011,PittyTiger,PittyTiger  attempts to obtain legitimate credentials during operations. [54]
G1005,POLONIUM,POLONIUM  has used valid compromised credentials to gain access to victim environments. [55]
G0034,Sandworm Team,Sandworm Team  have used previously acquired legitimate credentials prior to attacks. [56]
S0053,SeaDuke,Some  SeaDuke  samples have a module to extract email from Microsoft Exchange servers using compromised credentials. [57]
G0091,Silence,Silence  has used compromised credentials to log on to other systems and escalate privileges. [58]
G0122,Silent Librarian,Silent Librarian  has used compromised credentials to obtain unauthorized access to online accounts. [59]
C0024,SolarWinds Compromise,"During the  SolarWinds Compromise ,  APT29  used different compromised credentials for remote access and to move laterally. [60] [61] [62]"
G0039,Suckfly,Suckfly  used legitimate account credentials that they dumped to navigate the internal victim network as though they were the legitimate account owner. [63]
G0088,TEMP.Veles,TEMP.Veles  has used compromised VPN accounts. [64]
G0027,Threat Group-3390,Threat Group-3390  actors obtain legitimate credentials using a variety of methods and use them to further lateral movement on victim networks. [65]
G0102,Wizard Spider,Wizard Spider  has used valid credentials for privileged accounts with the goal of accessing domain controllers. [66] [67]
M1036,Account Use Policies,Use conditional access policies to block logins from non-compliant devices or from outside defined organization IP ranges. [68]
M1015,Active Directory Configuration,"Disable legacy authentication, which does not support MFA, and require the use of modern authentication protocols instead."
M1013,Application Developer Guidance,"Ensure that applications do not store sensitive data or credentials insecurely. (e.g. plaintext credentials in code, published credentials in repositories, or credentials in public cloud storage)."
M1027,Password Policies,"Applications and appliances that utilize default username and password should be changed immediately after the installation, and before deployment to a production environment. [69]  When possible, applications that use SSH keys should be updated periodically and properly secured. Policies should minimize (if not eliminate) reuse of passwords between different user accounts, especially employees using the same credentials for personal accounts that may not be defended by enterprise security resources."
M1026,Privileged Account Management,"Audit domain and local accounts as well as their permission levels routinely to look for situations that could allow an adversary to gain wide access by obtaining credentials of a privileged account.  [3]   [70]  These audits should also include if default accounts have been enabled, or if new local accounts are created that have not be authorized. Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers.  [71]"
M1018,User Account Management,Regularly audit user accounts for activity and deactivate or remove any that are no longer needed.
M1017,User Training,Applications may send push notifications to verify a login as a form of multi-factor authentication (MFA). Train users to only accept valid push notifications and to report suspicious push notifications.
G0138,Andariel,"Andariel  has used watering hole attacks, often with zero-day exploits, to gain initial access to victims within a specific IP range. [3] [4]"
G0073,APT19,APT19  performed a watering hole attack on forbes.com in 2014 to compromise targets. [5]
G0007,APT28,APT28  has compromised targets via strategic web compromise utilizing custom exploit kits. [6]
G0050,APT32,APT32  has infected victims by tricking them into visiting compromised watering hole websites. [7] [8]
G0067,APT37,"APT37  has used strategic web compromises, particularly of South Korean websites, to distribute malware. The group has also used torrent file-sharing sites to more indiscriminately disseminate malware to victims. As part of their compromises, the group has used a Javascript based profiler called RICECURRY to profile a victim's web browser and deliver malicious code accordingly. [9] [10] [11]"
G0082,APT38,APT38  has conducted watering holes schemes to gain initial access to victims. [12] [13]
G0001,Axiom,Axiom  has used watering hole attacks to gain access. [14]
S0606,Bad Rabbit,Bad Rabbit  spread through watering holes on popular sites by injecting JavaScript into the HTML body or a  .js  file. [15] [16]
G0060,BRONZE BUTLER,BRONZE BUTLER  compromised three Japanese websites using a Flash exploit to perform watering hole attacks. [17]
S0482,Bundlore,Bundlore  has been spread through malicious advertisements on websites. [18]
C0010,C0010,"During  C0010 , UNC3890 actors likely established a watering hole that was hosted on a login page of a legitimate Israeli shipping company that was active until at least November 2021. [19]"
G0070,Dark Caracal,Dark Caracal  leveraged a watering hole to serve up malicious code. [20]
G0012,Darkhotel,Darkhotel  used embedded iframes on hotel login portals to redirect selected victims to download malware. [21]
G0035,Dragonfly,Dragonfly  has compromised targets via strategic web compromise (SWC) utilizing a custom exploit kit. [22] [23] [24]
G1006,Earth Lusca,Earth Lusca  has performed watering hole attacks. [25]
G0066,Elderwood,Elderwood  has delivered zero-day exploits and malware to victims by injecting malicious code into specific public Web pages visited by targets within a particular sector. [26] [27] [28]
S0531,Grandoreiro,Grandoreiro  has used compromised websites and Google Ads to bait victims into downloading its installer. [29] [30]
S0215,KARAE,"KARAE  was distributed through torrent file-sharing websites to South Korean victims, using a YouTube video downloader application as a lure. [10]"
G0032,Lazarus Group,Lazarus Group  delivered  RATANKBA  and other malicious code to victims via a compromised legitimate website. [31] [32]
G0077,Leafminer,Leafminer  has infected victims using watering holes. [33]
G0065,Leviathan,Leviathan  has infected victims using watering holes. [34]
S0451,LoudMiner,LoudMiner  is typically bundled with pirated copies of Virtual Studio Technology (VST) for Windows and macOS. [35]
G0095,Machete,Machete  has distributed  Machete  through a fake blog website. [36]
G0059,Magic Hound,Magic Hound  has conducted watering-hole attacks through media and magazine websites. [37]
C0016,Operation Dust Storm,"During  Operation Dust Storm , the threat actors used a watering hole attack on a popular software reseller to exploit the then-zero-day Internet Explorer vulnerability CVE-2014-0322. [38]"
G0040,Patchwork,Patchwork  has used watering holes to deliver files with exploits to initial victims. [39] [40]
G0068,PLATINUM,PLATINUM  has sometimes used drive-by attacks against vulnerable browser plugins. [41]
S0216,POORAIM,POORAIM  has been delivered through compromised sites acting as watering holes. [10]
G0056,PROMETHIUM,PROMETHIUM  has used watering hole attacks to deliver malicious versions of legitimate installers. [42]
S0496,REvil,REvil  has infected victim machines through compromised websites and exploit kits. [43] [44] [45] [46]
G0048,RTM,"RTM  has distributed its malware via the RIG and SUNDOWN exploit kits, as well as online advertising network  Yandex.Direct . [47] [48]"
S1086,Snip3,Snip3  has been delivered to targets via downloads from malicious domains. [49]
G0027,Threat Group-3390,Threat Group-3390  has extensively used strategic web compromises to target victims. [50] [51]
G0134,Transparent Tribe,"Transparent Tribe  has used websites with malicious hyperlinks and iframes to infect targeted victims with  Crimson ,  njRAT , and other malicious tools. [52] [53] [54]"
G0010,Turla,Turla  has infected victims using watering holes. [55] [56]
G0124,Windigo,Windigo  has distributed Windows malware via drive-by downloads. [57]
G0112,Windshift,Windshift  has used compromised websites to register custom URL schemes on a remote system. [58]
M1048,Application Isolation and Sandboxing,"Browser sandboxes can be used to mitigate some of the impact of exploitation, but sandbox escapes may still exist. [59] [60] Other types of virtualization and application microsegmentation may also mitigate the impact of client-side exploitation. The risks of additional exploits and weaknesses in implementation may still exist for these types of systems. [60]"
M1050,Exploit Protection,Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior.  [61]  Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring.  [62]  Many of these protections depend on the architecture and target application binary for compatibility.
M1021,Restrict Web-Based Content,"For malicious code served up through ads, adblockers can help prevent that code from executing in the first place. Script blocking extensions can help prevent the execution of JavaScript that may commonly be used during the exploitation process."
M1051,Update Software,Ensure all browsers and plugins kept updated can help prevent the exploit phase of this technique. Use modern browsers with security features turned on.
